Brain_1	Brain_2	Liver_1	Liver_2
ENSMUSG00000019302.12;SE:chr11:101048525-101049459:101049476-101055026:+	0.7145754853665605	0.5481268011527377	0.0866039571845605	0.0
ENSMUSG00000026276.13;SE:chr1:93479068-93489124:93489154-93491157:+	0.19202310966957228	0.21302976858532413	0.7650619369369369	0.7462459345374022
ENSMUSG00000032624.11;SE:chr17:83421735-83425258:83425431-83427223:+	0.3474604776320216	0.3813833225597932	0.8907056798623064	0.921099290780142
ENSMUSG00000032624.11;SE:chr17:83428025-83428216:83428248-83440031:+	0.28951793721973096	0.3155924043861995	0.8907056798623064	0.7986164488854727
ENSMUSG00000033392.11;SE:chr9:113881751-113887045:113887047-113889958:+	0.24976149589772945	0.3120812182741117	0.8404423380726699	0.7987897125567323
ENSMUSG00000036167.11;SE:chr15:93441712-93452117:93452173-93455451:+	0.0965528508413658	0.0729100191448628	0.6018744906275469	0.6136180499597099
ENSMUSG00000037936.11;SE:chr5:125277865-125281105:125281233-125283899:-	0.2627874237447208	0.22240259740259735	0.7143688190808609	0.7760878749471906
ENSMUSG00000061306.11;SE:chr11:120106610-120109372:120109395-120109432:-	0.5141104294478528	0.5602697998259357	0.0	0.0
ENSMUSG00000061751.11;SE:chr16:34040009-34049830:34049922-34053560:-	0.5542091836734694	0.6315789473684211	0.0545977011494253	0.06598586017282013
ENSMUSG00000073468.7;SE:chr17:8311285-8317850:8317871-8318844:+	0.6158823529411765	0.5800852618757613	0.007712765957446809	0.0
ENSMUSG00000078812.6;SE:chr11:69919336-69920341:69920434-69921024:-	0.2744295772052048	0.22988190057676464	0.7875603348200647	0.7257123923127901
